Date,Open,High,Low,Close,Adj Close,Volume,symbol
2022-10-04,245.08999633789062,250.36000061035156,244.97999572753906,248.8800048828125,248.8800048828125,34888400,MSFT
2022-10-05,245.99000549316406,250.5800018310547,244.10000610351562,249.1999969482422,249.1999969482422,20347100,MSFT
2022-10-06,247.92999267578125,250.33999633789062,246.0800018310547,246.7899932861328,246.7899932861328,20239900,MSFT
2022-10-07,240.89999389648438,241.32000732421875,233.1699981689453,234.24000549316406,234.24000549316406,37732400,MSFT
2022-10-10,233.0500030517578,234.55999755859375,226.72999572753906,229.25,229.25,29743600,MSFT
2022-10-11,227.6199951171875,229.05999755859375,224.11000061035156,225.41000366210938,225.41000366210938,30474000,MSFT
2022-10-12,225.39999389648438,227.86000061035156,223.9600067138672,225.75,225.75,21903900,MSFT
2022-10-13,219.85000610351562,236.10000610351562,219.1300048828125,234.24000549316406,234.24000549316406,42551800,MSFT
2022-10-14,235.5399932861328,237.24000549316406,228.33999633789062,228.55999755859375,228.55999755859375,30187200,MSFT
2022-10-17,235.82000732421875,238.9600067138672,235.13999938964844,237.52999877929688,237.52999877929688,28142300,MSFT
2022-10-18,243.24000549316406,243.92999267578125,235.3699951171875,238.5,238.5,26329600,MSFT
2022-10-19,237.0399932861328,239.61000061035156,234.2899932861328,236.47999572753906,236.47999572753906,19985700,MSFT
2022-10-20,235.77000427246094,241.30999755859375,234.8699951171875,236.14999389648438,236.14999389648438,21811000,MSFT
2022-10-21,234.74000549316406,243.0,234.5,242.1199951171875,242.1199951171875,26280900,MSFT
2022-10-24,243.75999450683594,247.83999633789062,241.3000030517578,247.25,247.25,24911200,MSFT
2022-10-25,247.25999450683594,251.0399932861328,245.8300018310547,250.66000366210938,250.66000366210938,34775500,MSFT
2022-10-26,231.1699981689453,238.3000030517578,230.05999755859375,231.32000732421875,231.32000732421875,82543200,MSFT
2022-10-27,231.0399932861328,233.69000244140625,225.77999877929688,226.75,226.75,40424600,MSFT
2022-10-28,226.24000549316406,236.60000610351562,226.0500030517578,235.8699951171875,235.8699951171875,40647700,MSFT
2022-10-31,233.75999450683594,234.9199981689453,231.14999389648438,232.1300048828125,232.1300048828125,28357300,MSFT
2022-11-01,234.60000610351562,235.74000549316406,227.3300018310547,228.1699981689453,228.1699981689453,30592300,MSFT
2022-11-02,229.4600067138672,231.3000030517578,220.0399932861328,220.10000610351562,220.10000610351562,38407000,MSFT
2022-11-03,220.08999633789062,220.41000366210938,213.97999572753906,214.25,214.25,36633900,MSFT
2022-11-04,217.5500030517578,221.58999633789062,213.42999267578125,221.38999938964844,221.38999938964844,36767800,MSFT
2022-10-04,119.88999938964844,123.0,119.79000091552734,121.08999633789062,121.08999633789062,62812600,AMZN
2022-10-05,118.58000183105469,121.75,117.69000244140625,120.94999694824219,120.94999694824219,48217500,AMZN
2022-10-06,120.7699966430664,121.52999877929688,119.5,120.30000305175781,120.30000305175781,42253800,AMZN
2022-10-07,118.0,118.16999816894531,113.87999725341797,114.55999755859375,114.55999755859375,54626400,AMZN
2022-10-10,115.0999984741211,116.25,112.43000030517578,113.66999816894531,113.66999816894531,42339700,AMZN
2022-10-11,112.70999908447266,115.4800033569336,110.38999938964844,112.20999908447266,112.20999908447266,56432200,AMZN
2022-10-12,112.48999786376953,113.83000183105469,111.4000015258789,112.9000015258789,112.9000015258789,45728700,AMZN
2022-10-13,107.87999725341797,113.44000244140625,105.3499984741211,112.52999877929688,112.52999877929688,86868100,AMZN
2022-10-14,114.0999984741211,114.95999908447266,106.5999984741211,106.9000015258789,106.9000015258789,67651200,AMZN
2022-10-17,110.11000061035156,114.19000244140625,110.08999633789062,113.79000091552734,113.79000091552734,62782000,AMZN
2022-10-18,119.05999755859375,119.5199966430664,114.79000091552734,116.36000061035156,116.36000061035156,65607400,AMZN
2022-10-19,114.70999908447266,116.58999633789062,113.22000122070312,115.06999969482422,115.06999969482422,47198100,AMZN
2022-10-20,113.83000183105469,118.23999786376953,113.51000213623047,115.25,115.25,48795100,AMZN
2022-10-21,114.79000091552734,119.58999633789062,114.5,119.31999969482422,119.31999969482422,55611900,AMZN
2022-10-24,119.9800033569336,120.38999938964844,116.56999969482422,119.81999969482422,119.81999969482422,49531500,AMZN
2022-10-25,119.6500015258789,121.31999969482422,118.94999694824219,120.5999984741211,120.5999984741211,50934600,AMZN
2022-10-26,116.0,119.3499984741211,114.76000213623047,115.66000366210938,115.66000366210938,68802300,AMZN
2022-10-27,113.91999816894531,114.12000274658203,109.7699966430664,110.95999908447266,110.95999908447266,129605400,AMZN
2022-10-28,97.91000366210938,103.95999908447266,97.66000366210938,103.41000366210938,103.41000366210938,223133400,AMZN
2022-10-31,103.55999755859375,104.87000274658203,100.73999786376953,102.44000244140625,102.44000244140625,99251400,AMZN
2022-11-01,103.98999786376953,104.58000183105469,96.05999755859375,96.79000091552734,96.79000091552734,153370000,AMZN
2022-11-02,97.31999969482422,97.73999786376953,92.01000213623047,92.12000274658203,92.12000274658203,135761800,AMZN
2022-11-03,92.47000122070312,93.5,89.0199966430664,89.30000305175781,89.30000305175781,136683300,AMZN
2022-11-04,91.48999786376953,92.44000244140625,88.04000091552734,90.9800033569336,90.9800033569336,128999900,AMZN
2022-10-04,145.02999877929688,146.22000122070312,144.25999450683594,146.10000610351562,145.85804748535156,87830100,AAPL
